POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,694.86,1554.31,2102.12,198.97,102.54,-71.36,-1278.48,-10573.99,728.09,7263.83,-2514.17,57.73,0.0,720.88,-2456.44,-1735.56
4,697.57,1502.99,2068.53,195.57,91.74,-83.67,-1273.54,-10786.73,734.96,7283.34,-2495.93,57.87,0.0,430.78,-2438.06,-2007.28
7,760.34,1509.19,2021.19,198.52,101.16,-73.93,-1309.7,-10751.43,745.28,7269.25,-2500.66,58.25,0.0,469.88,-2442.41,-1972.53
10,691.26,1497.59,2004.74,189.3,98.0,-87.75,-1282.22,-10729.46,761.58,7188.5,-2481.32,58.22,0.0,331.54,-2423.1,-2091.56
13,711.32,1556.82,2031.83,190.84,92.15,-107.62,-1305.98,-10658.31,746.76,7231.79,-2508.21,58.65,0.0,489.61,-2449.57,-1959.95
16,667.44,1601.83,2056.57,208.21,99.34,-100.55,-1274.92,-10715.55,729.36,7258.98,-2509.47,58.9,0.0,530.7,-2450.57,-1919.87
19,666.87,1575.09,2043.27,192.45,94.01,-91.92,-1299.74,-10765.72,762.2,7237.59,-2437.49,59.3,0.0,414.09,-2378.19,-1964.1
22,682.93,1523.6,2034.62,191.2,101.25,-84.04,-1331.2,-10766.09,753.79,7290.91,-2425.67,58.47,0.0,396.97,-2367.2,-1970.23
25,701.82,1577.11,2044.25,192.78,107.64,-99.15,-1296.33,-10663.16,736.82,7213.02,-2470.73,58.52,0.0,514.79,-2412.21,-1897.42
28,671.07,1542.92,2020.03,193.55,98.09,-75.56,-1280.09,-10679.28,766.01,7298.03,-2554.15,59.32,0.0,554.78,-2494.83,-1940.05
31,684.67,1494.67,2056.54,182.88,92.65,-67.98,-1295.66,-10771.9,752.78,7243.78,-2410.32,58.35,0.0,372.43,-2351.98,-1979.55
34,691.93,1538.73,2039.16,181.67,111.77,-89.65,-1274.35,-10957.46,759.97,7234.31,-2271.96,59.48,0.0,236.09,-2212.48,-1976.4
37,698.3,1542.68,2029.69,197.71,100.48,-80.02,-1298.36,-10787.02,759.4,7251.5,-2383.66,59.11,0.0,414.36,-2324.55,-1910.2
40,734.44,1493.13,2016.3,193.8,98.37,-80.25,-1261.37,-10827.92,766.6,7207.24,-2355.31,59.25,0.0,340.35,-2296.06,-1955.71
43,706.21,1451.05,2030.52,184.41,102.96,-100.14,-1293.4,-10691.54,767.36,7247.64,-2429.51,59.04,0.0,405.09,-2370.46,-1965.38
46,742.63,1520.74,2031.45,195.6,109.32,-96.04,-1270.47,-10829.94,734.1,7218.49,-2385.39,58.76,0.0,355.87,-2326.63,-1970.77
49,697.3,1548.81,2023.96,197.64,91.1,-89.45,-1282.96,-10804.71,764.42,7319.16,-2456.0,58.6,0.0,465.27,-2397.4,-1932.12
52,715.86,1531.38,2040.39,196.71,118.25,-100.61,-1267.74,-10717.91,756.93,7280.36,-2500.84,59.34,0.0,553.61,-2441.5,-1887.9
55,655.42,1571.05,1991.24,192.98,97.6,-93.67,-1311.29,-10713.75,758.1,7273.43,-2510.59,59.93,0.0,421.11,-2450.67,-2029.56
58,712.75,1530.45,2001.11,185.94,103.63,-79.43,-1298.76,-10635.49,743.8,7185.77,-2474.24,59.81,0.0,449.76,-2414.43,-1964.67
61,685.15,1540.54,2056.91,179.69,104.89,-104.66,-1318.72,-10787.23,743.02,7333.12,-2450.21,59.14,0.0,432.7,-2391.07,-1958.37
64,701.47,1517.44,2033.08,180.92,90.71,-88.86,-1274.42,-10820.04,744.82,7266.63,-2420.62,60.06,0.0,351.73,-2360.56,-2008.83
67,695.2,1503.01,2028.09,184.75,107.71,-84.51,-1301.49,-10851.21,737.01,7289.15,-2367.4,58.76,0.0,307.72,-2308.64,-2000.92
70,689.27,1532.97,2019.66,193.67,107.76,-105.23,-1308.89,-10767.1,772.06,7280.77,-2469.01,57.91,0.0,414.93,-2411.1,-1996.17
73,706.08,1567.17,2029.53,178.94,94.1,-111.01,-1301.96,-10763.68,744.54,7184.18,-2368.52,57.97,0.0,327.87,-2310.55,-1982.68
76,680.76,1490.74,2048.78,182.38,89.19,-93.01,-1311.06,-10911.49,760.5,7311.69,-2324.75,56.56,0.0,248.49,-2268.19,-2019.7
79,710.24,1542.23,2019.81,196.36,102.32,-84.38,-1289.41,-10705.8,746.07,7196.96,-2446.26,58.81,0.0,434.41,-2387.45,-1953.04
82,704.8,1535.79,2040.73,188.24,106.09,-107.92,-1276.04,-10842.22,748.58,7276.42,-2406.95,57.96,0.0,374.48,-2348.99,-1974.51
85,721.73,1528.82,2032.2,188.17,98.95,-105.46,-1272.78,-10727.17,759.18,7285.48,-2512.34,59.47,0.0,509.13,-2452.87,-1943.74
88,712.34,1564.66,2005.89,187.85,105.64,-103.07,-1291.45,-10741.97,739.48,7253.75,-2480.5,59.39,0.0,433.12,-2421.11,-1987.99
91,678.62,1489.35,2010.83,185.25,104.6,-79.71,-1294.03,-10852.3,752.6,7303.86,-2369.06,57.07,0.0,299.06,-2312.0,-2012.94
94,693.25,1523.29,2016.55,189.49,103.61,-94.68,-1329.42,-10878.05,766.38,7331.69,-2372.23,57.18,0.0,322.11,-2315.06,-1992.95
97,736.81,1491.78,2026.03,190.7,97.61,-93.25,-1267.83,-10830.86,759.89,7240.77,-2410.22,58.07,0.0,351.64,-2352.15,-2000.51
100,694.05,1568.42,1998.86,181.64,102.75,-87.13,-1294.66,-10775.98,764.26,7312.51,-2452.99,58.59,0.0,464.73,-2394.41,-1929.68
103,709.27,1554.68,2023.75,191.0,96.59,-88.67,-1321.32,-10865.4,753.63,7349.18,-2442.01,57.8,0.0,402.71,-2384.22,-1981.5
106,736.56,1542.76,2009.27,182.32,106.75,-90.24,-1283.55,-10849.91,721.7,7333.38,-2443.05,59.71,0.0,409.05,-2383.34,-1974.29
109,720.02,1552.83,2010.82,199.35,104.51,-104.37,-1277.86,-10844.92,758.27,7271.15,-2378.7,58.55,0.0,389.79,-2320.15,-1930.35
112,703.78,1478.86,2004.38,186.81,101.94,-82.98,-1314.17,-10802.26,760.71,7255.89,-2384.77,57.88,0.0,292.95,-2326.89,-2033.94
115,696.44,1495.36,2040.13,185.2,96.31,-94.97,-1268.74,-10756.54,760.8,7228.05,-2447.65,58.41,0.0,382.03,-2389.24,-2007.21
118,654.06,1520.12,2013.85,190.38,97.77,-90.98,-1309.07,-10859.56,769.84,7270.59,-2370.3,57.3,0.0,257.0,-2312.99,-2056.0
121,669.04,1495.5,2008.73,179.12,106.01,-84.71,-1304.35,-10824.35,763.02,7327.35,-2406.91,59.07,0.0,335.35,-2347.85,-2012.49
124,686.04,1539.66,2004.6,201.94,99.58,-102.44,-1343.25,-10773.4,761.4,7253.2,-2401.16,57.46,0.0,327.33,-2343.7,-2016.37
127,675.93,1528.64,2041.56,190.42,102.04,-96.63,-1292.44,-10726.48,749.39,7221.85,-2436.65,56.35,0.0,394.29,-2380.3,-1986.01
130,729.29,1505.1,2073.13,196.1,100.37,-89.16,-1319.51,-10740.94,771.92,7178.32,-2394.86,56.82,0.0,404.63,-2338.04,-1933.4
133,718.63,1523.02,2017.87,194.88,98.04,-76.05,-1361.18,-10766.72,742.0,7226.39,-2420.92,56.16,0.0,316.89,-2364.76,-2047.87
136,715.43,1533.66,2037.01,191.92,112.49,-100.6,-1293.36,-10791.28,718.54,7263.37,-2440.17,57.38,0.0,387.18,-2382.79,-1995.62
139,724.38,1476.84,2024.16,187.96,102.09,-97.11,-1299.92,-10675.53,749.02,7273.47,-2548.43,57.24,0.0,465.35,-2491.18,-2025.83
142,680.54,1526.26,2006.98,196.53,102.3,-93.29,-1328.58,-10722.46,763.33,7240.22,-2444.16,57.99,0.0,371.83,-2386.17,-2014.34
145,667.99,1537.65,2040.32,191.92,94.36,-83.8,-1341.09,-10761.39,776.29,7253.8,-2435.06,56.43,0.0,376.06,-2378.64,-2002.57
148,699.56,1509.7,2037.04,185.1,92.18,-76.14,-1309.82,-10749.04,742.25,7238.85,-2410.32,56.9,0.0,369.68,-2353.42,-1983.74
