POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,651.97,1506.99,2070.78,187.95,100.83,-98.02,-1370.46,-11488.95,754.43,7532.38,-2029.31,52.77,0.0,-152.1,-1976.54,-2128.65
4,714.51,1539.62,2082.17,191.19,106.87,-105.04,-1319.73,-11363.93,727.08,7397.24,-2043.25,54.26,0.0,-30.02,-1988.98,-2019.01
7,683.74,1547.69,2054.65,194.84,108.87,-96.24,-1367.16,-11190.28,747.15,7320.58,-2097.0,53.5,0.0,3.83,-2043.51,-2039.68
10,684.26,1559.33,2057.72,192.23,111.92,-96.83,-1342.91,-11372.5,707.05,7429.71,-2064.62,54.33,0.0,-70.02,-2010.29,-2080.31
13,703.77,1523.8,2055.68,189.49,106.15,-99.17,-1349.95,-11237.21,707.64,7381.98,-2154.93,54.97,0.0,-17.82,-2099.96,-2117.78
16,693.62,1453.94,2025.56,176.36,87.86,-117.31,-1331.06,-11338.86,719.94,7437.01,-2076.72,53.62,0.0,-192.93,-2023.1,-2216.03
19,674.4,1492.49,2049.44,185.39,107.0,-106.11,-1349.86,-11281.09,735.24,7416.91,-2144.13,54.89,0.0,-76.2,-2089.24,-2165.43
22,708.43,1475.24,2045.4,202.44,101.71,-96.45,-1339.69,-11197.9,720.91,7399.13,-2221.71,55.16,0.0,19.23,-2166.55,-2147.32
25,702.45,1495.17,2063.15,181.14,122.59,-88.59,-1358.82,-11340.25,730.36,7381.39,-2091.95,54.26,0.0,-111.41,-2037.69,-2149.1
28,701.65,1527.86,2040.69,186.7,114.69,-89.11,-1329.06,-11082.3,739.58,7349.13,-2256.39,55.89,0.0,159.83,-2200.5,-2040.67
31,711.09,1542.5,2060.03,183.89,109.92,-96.25,-1331.1,-11196.07,718.4,7387.18,-2240.57,56.03,0.0,89.6,-2184.55,-2094.95
34,642.21,1531.39,2039.44,193.38,95.54,-106.12,-1326.99,-11350.31,717.78,7439.52,-2090.39,54.51,0.0,-124.16,-2035.89,-2160.04
37,668.41,1493.15,2019.46,178.19,129.39,-106.67,-1353.07,-11323.32,722.15,7483.68,-2139.97,55.25,0.0,-88.62,-2084.72,-2173.33
40,670.97,1520.85,2011.48,191.52,97.29,-94.4,-1327.72,-11288.58,722.18,7404.03,-2143.89,55.34,0.0,-92.37,-2088.54,-2180.91
43,680.85,1546.01,2016.9,190.59,103.11,-88.78,-1346.09,-11293.87,730.53,7439.71,-2152.47,55.08,0.0,-21.05,-2097.39,-2118.43
46,682.6,1549.87,2036.26,180.26,100.09,-94.17,-1346.81,-11326.02,728.28,7430.83,-2101.45,55.8,0.0,-58.8,-2045.66,-2104.46
49,715.59,1539.12,2021.6,192.02,97.75,-86.51,-1331.71,-11172.99,742.81,7427.74,-2255.85,57.48,0.0,145.42,-2198.37,-2052.95
52,697.76,1540.48,2027.33,190.44,120.94,-105.39,-1319.96,-11215.12,710.95,7390.0,-2207.64,55.6,0.0,37.42,-2152.03,-2114.61
55,692.88,1519.23,2040.44,183.51,97.54,-100.37,-1347.27,-11200.16,720.95,7423.77,-2192.31,54.87,0.0,30.52,-2137.44,-2106.92
58,682.65,1455.08,2061.32,185.55,92.38,-105.42,-1310.8,-11303.58,732.26,7463.29,-2162.31,56.33,0.0,-47.27,-2105.99,-2153.26
61,754.42,1554.67,2017.04,192.54,106.4,-103.39,-1333.8,-11283.15,700.18,7383.43,-2151.67,55.65,0.0,-11.68,-2096.02,-2107.7
64,673.94,1542.33,2045.54,179.02,93.79,-115.94,-1345.14,-11157.2,723.65,7456.89,-2283.65,55.48,0.0,96.87,-2228.17,-2131.3
67,679.58,1529.47,2019.54,192.29,104.18,-89.8,-1339.41,-11173.09,735.42,7382.29,-2227.18,56.37,0.0,40.49,-2170.81,-2130.32
70,701.91,1484.53,2029.74,188.48,101.2,-84.05,-1343.1,-11214.24,737.67,7419.56,-2202.89,56.32,0.0,21.69,-2146.57,-2124.88
73,717.96,1606.59,2009.71,193.89,103.02,-81.92,-1335.65,-11183.49,702.67,7370.23,-2240.13,55.78,0.0,103.01,-2184.35,-2081.34
