time,hbcount
411,1
412,0
413,0
414,0
415,2
416,3
417,0
418,0
419,0
420,2
421,0
422,0
423,3
424,0
425,0
426,2
427,0
428,2
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,3
443,1
444,1
445,2
446,0
447,2
448,0
449,1
450,0
451,0
452,2
453,0
454,1
455,1
456,1
457,0
458,0
459,0
460,3
461,1
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,1
470,3
471,2
472,1
473,0
474,1
475,1
476,0
477,1
478,1
479,1
480,4
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,2
497,1
498,2
499,0
500,0
501,1
502,0
503,1
504,0
505,2
506,2
507,0
508,0
509,0
510,2
511,2
512,1
513,0
514,1
515,2
516,2
517,2
518,3
519,1
520,5
521,6
522,1
523,5
524,7
525,1
526,8
527,2
528,3
529,5
530,4
531,0
532,2
533,4
534,3
535,7
536,2
537,3
538,2
539,3
540,7
541,6
542,3
543,6
544,1
545,0
546,5
547,8
548,2
549,8
550,6
551,2
552,1
553,4
554,6
555,3
556,5
557,3
558,2
559,2
560,5
561,6
562,2
563,1
564,1
565,2
566,1
567,6
568,5
569,5
570,6
571,6
572,3
573,1
574,3
575,5
576,2
577,2
578,2
579,2
580,0
581,3
582,0
583,1
584,0
585,0
586,0
587,2
588,0
589,5
590,3
591,6
592,14
593,12
594,13
595,13
596,9
597,7
598,10
599,6
600,7
601,7
602,7
603,10
604,9
605,15
606,11
607,7
608,6
609,1
610,11
611,6
612,6
613,5
614,2
615,3
616,3
617,3
618,1
619,0
620,1
621,1
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,2
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,1
802,0
803,0
804,1
805,0
806,0
807,1
808,1
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,1
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,2
909,3
910,0
911,0
912,1
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,2
988,2
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
